X,dilution,strain_2,sugar_concentration,tube_name,innoc_rep,time,media,replicate,carbon_source,strain_1,estradiol_concentration,Population,Frequency,generation,mean_FSC_A,mean_FSC_H,mean_FSC_W,mean_SSC_A,mean_SSC_H,mean_SSC_W,mean_FITC_A,mean_PE_Texas_Red_A,cv_FSC_A,cv_FSC_H,cv_FSC_W,cv_SSC_A,cv_SSC_H,cv_SSC_W,cv_FITC_A,cv_PE_Texas_Red_A,count,strains
51,10000,yJB077,20,Tube_027,1,2,BD_YNB,3,glucose_fructose,yJB064,0,mCerulean,23.63,27,53668.6324620451,43862.8666948794,78453.80170698,34148.751841062,27287.1599661447,78945.7017711199,120.561759876426,77.6949126876809,42.0882540015846,36.42030325107,7.59256157493626,62.9563922273087,57.7823216415149,5.32449976085196,65.8933175505365,116.49000087974,2363,yJB064_yJB077
52,10000,yJB077,20,Tube_028,2,2,BD_YNB,1,glucose_fructose,yJB064,0,mCerulean,22.66,27,54389.1487551198,44141.6553398058,78891.277928136,35053.5605632516,27809.7894969109,79470.3050564045,115.491657973493,75.8456570744921,42.5292745557415,36.0739437623762,7.52642225446206,59.2307272920538,53.8947133453022,5.53812352567578,64.4080388473772,117.047376063335,2266,yJB064_yJB077
53,10000,yJB077,20,Tube_029,2,2,BD_YNB,2,glucose_fructose,yJB064,0,mCerulean,22.59,27,54652.7545034705,44452.3607791058,78776.6576713977,35255.0655347361,28082.005312085,79165.3194963203,117.838697199935,74.0726068274935,41.8563181212274,36.2211119886274,7.74571417703339,61.0590203689843,56.443712646426,5.27385116533396,64.9403247597147,118.608006270144,2259,yJB064_yJB077
54,10000,yJB077,20,Tube_030,2,2,BD_YNB,3,glucose_fructose,yJB064,0,mCerulean,20.04,27,52555.5537491911,42790.8592814371,78629.4589278474,33839.2642026738,27022.3832335329,79113.9701495447,120.797074479986,77.9294611262047,46.5172125052648,39.5571744926591,7.14127723211006,61.4438854441627,57.4300977670989,4.95279623789003,68.6614133556679,128.678447105838,2004,yJB064_yJB077
55,10000,yJB077,20,Tube_061,1,2,BD_YNB,1,sucrose,yJB064,0,mCerulean,53.74,27,62781.1794459034,48654.3046148121,82282.7473279913,37797.960008798,30675.4709713435,76691.9410907843,169.727768999701,76.8650614049255,42.7376447325288,34.4735107537439,8.37658961984768,66.0384564117928,59.771135783946,6.43407925985588,72.3649817544058,116.137002585222,5374,yJB064_yJB077
56,10000,yJB077,20,Tube_062,1,2,BD_YNB,2,sucrose,yJB064,0,mCerulean,52.95,27,63856.5153583127,49123.7507082153,82778.1963777738,39865.6500651503,32154.4304060434,76851.3829932424,168.140560857517,86.3282779943713,43.4062651292299,35.0892602524961,8.57971428039956,66.7285065664135,60.8190814469758,6.75771764651413,70.946512702528,119.564513707909,5295,yJB064_yJB077
57,10000,yJB077,20,Tube_063,1,2,BD_YNB,3,sucrose,yJB064,0,mCerulean,50.27,27,61513.265582942,47829.4823950666,81844.6406001343,40139.2572327207,32780.3497115576,75958.7172401843,162.240419596837,102.591568051336,42.4595952607685,35.4274832236076,8.16128217645001,63.3523571119176,57.8148069457189,6.18390430671505,69.4382235555168,119.431666666667,5027,yJB064_yJB077
58,10000,yJB077,20,Tube_064,2,2,BD_YNB,1,sucrose,yJB064,0,mCerulean,56.84,27,63213.7037173116,48658.9252287122,82742.7435887744,42342.0254863226,34277.4771287825,76717.7964509753,168.7429959281,110.043917147697,43.9124437106547,35.5217159775608,8.80112945191503,67.0672692154635,61.0426784486661,6.68682086986256,71.4506128878225,118.998162108874,5684,yJB064_yJB077
59,10000,yJB077,20,Tube_065,2,2,BD_YNB,2,sucrose,yJB064,0,mCerulean,53.08,27,61846.6678135634,48298.4900150716,81678.2476568387,36835.130707776,30168.5587792012,76033.1127977522,162.546931050353,77.0455405505721,43.5991007366975,35.6600723190447,8.34399416228979,66.0101329320878,60.1141701523466,6.32890051778873,71.4012900801068,115.029311728121,5308,yJB064_yJB077
60,10000,yJB077,20,Tube_066,2,2,BD_YNB,3,sucrose,yJB064,0,mCerulean,61.2,27,64238.6024400499,49090.2076797386,83235.6765669679,41870.453822556,33571.5068627451,77327.7162562551,167.433959022768,100.73713638991,42.2785748529718,34.2320843134827,8.64421937529971,65.0542171291141,59.7972098245129,6.6555279805469,70.4692483706667,120.726000949673,6120,yJB064_yJB077
61,10000,yJB077,10,Tube_049,1,2,BD_YNB,1,sucrose,yJB064,0,mCerulean,65.21,27,61931.2664914914,47385.8063180494,82924.5314231186,44045.6693265178,35041.2646833308,77891.1606264856,178.365097687501,116.667476450929,46.1013590426895,36.0722648202035,9.51077064183748,70.3356278972965,63.116831520489,6.59907438337202,76.3232177086233,117.228839260918,6521,yJB064_yJB077
